"date","state","TotalCases","TotalDeaths","new_cases","new_deaths","MAC","MAD","Monthly","Weekly"
2020-09-19,"Arizona",213551,5471,-112,16,753.25,22.625,2020-09-01,2020-09-13
2020-09-18,"Arizona",213663,5455,2000,44,727.666666666667,21.7777777777778,2020-09-01,2020-09-13
2020-09-17,"Arizona",211663,5411,1752,35,700.3,21.8,2020-09-01,2020-09-13
2020-09-16,"Arizona",209911,5376,696,30,682.090909090909,22.7272727272727,2020-09-01,2020-09-13
2020-09-15,"Arizona",209215,5346,489,24,631.666666666667,21,2020-09-01,2020-09-13
2020-09-14,"Arizona",208726,5322,212,0,598.384615384615,19.2307692307692,2020-09-01,2020-09-13
2020-09-13,"Arizona",208514,5322,386,6,573.785714285714,18.8571428571429,2020-09-01,2020-09-13
2020-09-12,"Arizona",208128,5316,603,26,641.214285714286,20.0714285714286,2020-09-01,2020-09-06
2020-09-11,"Arizona",207525,5290,523,15,549.928571428571,19.8571428571429,2020-09-01,2020-09-06
2020-09-10,"Arizona",207002,5275,454,22,500.928571428571,21.8571428571429,2020-09-01,2020-09-06
2020-09-09,"Arizona",206548,5253,500,32,488.571428571429,21.2857142857143,2020-09-01,2020-09-06
2020-09-08,"Arizona",206048,5221,77,2,490,20.7857142857143,2020-09-01,2020-09-06
2020-09-07,"Arizona",205971,5219,199,-2,487.071428571429,20.6428571428571,2020-09-01,2020-09-06
2020-09-06,"Arizona",205772,5221,254,14,486.5,21.8571428571429,2020-09-01,2020-09-06
2020-09-05,"Arizona",205518,5207,832,33,487.928571428571,22.1428571428571,2020-09-01,2020-08-30
2020-09-04,"Arizona",204686,5174,722,41,487.857142857143,24.5,2020-09-01,2020-08-30
2020-09-03,"Arizona",203964,5133,1066,63,503.785714285714,25.2857142857143,2020-09-01,2020-08-30
2020-09-02,"Arizona",202898,5070,523,22,482.5,30.3571428571429,2020-09-01,2020-08-30
2020-09-01,"Arizona",202375,5048,509,17,539.285714285714,31.7142857142857,2020-09-01,2020-08-30
2020-08-31,"Arizona",201866,5031,171,-2,546.785714285714,31.8571428571429,2020-08-01,2020-08-30
2020-08-30,"Arizona",201695,5033,378,23,543.5,31.9285714285714,2020-08-01,2020-08-30
2020-08-29,"Arizona",201317,5010,623,30,554.357142857143,34,2020-08-01,2020-08-23
2020-08-28,"Arizona",200694,4980,522,48,547.071428571429,31.7857142857143,2020-08-01,2020-08-23
2020-08-27,"Arizona",200172,4932,677,33,523.571428571429,30.5,2020-08-01,2020-08-23
2020-08-26,"Arizona",199495,4899,202,103,531.714285714286,36.6428571428571,2020-08-01,2020-08-23
2020-08-25,"Arizona",199293,4796,872,21,559.928571428571,37.2857142857143,2020-08-01,2020-08-23
2020-08-24,"Arizona",198421,4775,304,0,581.5,37.4285714285714,2020-08-01,2020-08-23
2020-08-23,"Arizona",198117,4775,208,15,617.642857142857,36.6428571428571,2020-08-01,2020-08-23
2020-08-22,"Arizona",197909,4760,984,62,634.571428571429,39.5714285714286,2020-08-01,2020-08-16
2020-08-21,"Arizona",196925,4698,620,10,665.857142857143,39.0714285714286,2020-08-01,2020-08-16
2020-08-20,"Arizona",196305,4688,737,45,712.357142857143,39.3571428571429,2020-08-01,2020-08-16
2020-08-19,"Arizona",195568,4643,637,108,750.928571428571,42.2142857142857,2020-08-01,2020-08-16
2020-08-18,"Arizona",194931,4535,904,26,770.5,44.1428571428571,2020-08-01,2020-08-16
2020-08-17,"Arizona",194027,4509,473,0,787.928571428571,44.5,2020-08-01,2020-08-16
2020-08-16,"Arizona",193554,4509,884,12,834.5,44.2857142857143,2020-08-01,2020-08-16
2020-08-15,"Arizona",192670,4497,860,71,844.357142857143,43.7857142857143,2020-08-01,2020-08-09
2020-08-14,"Arizona",191810,4426,960,41,897.214285714286,48.7857142857143,2020-08-01,2020-08-09
2020-08-13,"Arizona",190850,4385,1328,37,952.714285714286,50.7142857142857,2020-08-01,2020-08-09
2020-08-12,"Arizona",189522,4348,742,143,1028.14285714286,48.9285714285714,2020-08-01,2020-08-09
2020-08-11,"Arizona",188780,4205,1146,48,1037.21428571429,51.7142857142857,2020-08-01,2020-08-09
2020-08-10,"Arizona",187634,4157,548,5,1077.21428571429,52.8571428571429,2020-08-01,2020-08-09
2020-08-09,"Arizona",187086,4152,860,12,1117.92857142857,53.1428571428571,2020-08-01,2020-08-09
2020-08-08,"Arizona",186226,4140,1122,55,1264.42857142857,52.2142857142857,2020-08-01,2020-08-02
2020-08-07,"Arizona",185104,4085,1360,80,1424.64285714286,54.0714285714286,2020-08-01,2020-08-02
2020-08-06,"Arizona",183744,4005,1514,72,1511.5,62.7142857142857,2020-08-01,2020-08-02
2020-08-05,"Arizona",182230,3933,1693,83,1627.57142857143,55.7857142857143,2020-08-01,2020-08-02
2020-08-04,"Arizona",180537,3850,1031,65,1694,59.7857142857143,2020-08-01,2020-08-02
2020-08-03,"Arizona",179506,3785,1033,16,1788.92857142857,59.9285714285714,2020-08-01,2020-08-02
2020-08-02,"Arizona",178473,3769,1454,16,1869.35714285714,60.8571428571429,2020-08-01,2020-08-02
2020-08-01,"Arizona",177019,3753,2911,58,2050.85714285714,66.3571428571429,2020-08-01,2020-07-26
2020-07-31,"Arizona",174108,3695,3203,67,2193.92857142857,67,2020-07-01,2020-07-26
2020-07-30,"Arizona",170905,3628,2544,158,2255.07142857143,68.3571428571429,2020-07-01,2020-07-26
2020-07-29,"Arizona",168361,3470,2367,46,2271.92857142857,66.5714285714286,2020-07-01,2020-07-26
2020-07-28,"Arizona",165994,3424,2076,104,2441.85714285714,70.7142857142857,2020-07-01,2020-07-26
2020-07-27,"Arizona",163918,3320,1877,7,2487.78571428571,71.5,2020-07-01,2020-07-26
